1579081682.7475042;[0, 0]
1579081682.9483182;[0, 0]
1579081682.9483497;[0, 0]
1579081682.9483716;[0, 0]
1579081682.9483907;[0, 0]
1579081682.9484086;[0, 0]
1579081682.9484258;[0, 0]
1579081682.9484425;[0, 0]
1579081682.9484582;[0, 0]
1579081682.9484835;[-0.002231535268947482, 0]
1579081682.9485037;[0.0045169927179813385, 0]
1579081682.9486332;[0.011265521869063377, 0]
1579081682.9486518;[0.01138395071029663, 0]
1579081682.9486704;[-0.0011864507105201483, 0]
1579081682.9486883;[-0.025910312309861183, 0]
1579081682.9487062;[-0.05063418671488762, 0]
1579081682.948724;[-0.05136289447546005, 0]
1579081682.9487433;[0.0014929791213944554, 0]
1579081682.948763;[0.13024260103702545, 0]
1579081682.948781;[0.35562756657600403, 0]
1579081682.948799;[0.6591246724128723, 0]
1579081682.9488184;[1.0095102787017822, 0]
1579081682.9571455;[1.3709826469421387, 0]
1579081682.9571795;[1.719735860824585, 0]
1579081682.9572031;[2.055110454559326, 0]
1579081682.957224;[2.3994500637054443, 0]
1579081682.957244;[2.78666353225708, 0]
1579081682.9572613;[3.2399072647094727, 0]
1579081682.957279;[3.7960119247436523, 0]
1579081682.9572964;[4.418684005737305, 0]
1579081682.9573135;[5.059293746948242, 0]
1579081682.957331;[5.664409637451172, 0]
1579081682.9573512;[6.20215368270874, 0]
1579081683.0598567;[6.680879592895508, 0]
1579081683.066436;[7.149598121643066, 0]
1579081683.066469;[7.678233623504639, 0]
1579081683.0664935;[8.310738563537598, 0]
1579081683.066533;[9.143656730651855, 0]
1579081683.0665576;[10.089731216430664, 0]
1579081683.0665765;[11.041313171386719, 0]
1579081683.0665944;[11.884212493896484, 0]
1579081683.0666118;[12.564315795898438, 0]
1579081683.0666306;[13.135629653930664, 0]
1579081683.0666485;[13.76004409790039, 0]
1579081683.2091944;[14.65231990814209, 0]
1579081683.2198014;[15.962056159973145, 0]
1579081683.2198606;[17.91444206237793, 0]
1579081683.219913;[20.317298889160156, 0]
1579081683.2199602;[22.903854370117188, 0]
1579081683.220008;[25.379470825195312, 0]
1579081683.220053;[27.578027725219727, 0]
1579081683.22131;[29.572460174560547, 0]
1579081683.221338;[31.675172805786133, 0]
1579081683.221362;[34.31779861450195, 0]
1579081683.2213867;[37.81361770629883, 0]
1579081683.5603194;[42.54123306274414, 0]
1579081683.5749645;[48.14630126953125, 0]
1579081683.5749984;[54.10475540161133, 0]
1579081683.5750215;[59.833091735839844, 0]
1579081683.575042;[64.97237396240234, 0]
1579081683.5750635;[69.58293151855469, 0]
1579081683.575083;[74.1435317993164, 0]
1579081683.5751026;[79.34498596191406, 0]
1579081683.5751202;[85.70726013183594, 0]
1579081683.5751367;[93.76193237304688, 0]
1579081683.575155;[102.99778747558594, 0]
1579081683.5752852;[0, 0]
1579081683.5753067;[0.332965612411499, 0]
1579081683.5753262;[0.39699748158454895, 0]
1579081683.5753458;[0.3982781171798706, 0]
1579081683.5753634;[0.3982781171798706, 0]
1579081683.5753803;[0.39443621039390564, 0]
1579081683.583629;[112.61756896972656, 0]
