1579081696.1370447;[-0.13159751892089844, 0]
1579081696.1370718;[14.208173751831055, 0]
1579081696.1371977;[0.6250286102294922, 0]
1579081696.1372166;[26.60098648071289, 0]
1579081696.1372347;[36.16142272949219, 0]
1579081696.1372547;[42.65277099609375, 0]
1579081696.1372733;[46.234840393066406, 0]
1579081696.1372907;[47.19178771972656, 0]
1579081696.1373076;[45.7667236328125, 0]
1579081696.1373262;[42.22047424316406, 0]
1579081696.1373436;[36.90549850463867, 0]
1579081696.1378245;[30.35891342163086, 0]
1579081696.1378481;[23.293071746826172, 0]
1579081696.137868;[16.452722549438477, 0]
1579081696.142853;[34.45000076293945, 0]
1579081696.1428854;[34.45000076293945, 0]
1579081696.142907;[34.45000076293945, 0]
1579081696.142927;[34.45000076293945, 0]
1579081696.1429458;[34.470001220703125, 0]
1579081696.1429634;[34.470001220703125, 0]
1579081696.1429827;[34.470001220703125, 0]
1579081696.1430008;[34.470001220703125, 0]
1579081696.9496617;[10.492315292358398, 0]
1579081696.9496858;[5.80878210067749, 0]
1579081696.949705;[2.510524272918701, 0]
1579081696.9497256;[0.4197697639465332, 0]
1579081696.949747;[-0.7883234024047852, 0]
1579081696.9497666;[-1.5161972045898438, 0]
1579081696.9497843;[-2.1492295265197754, 0]
1579081696.9498024;[-2.961210250854492, 0]
1579081696.9498198;[-4.138974189758301, 0]
1579081696.9498377;[-5.7415242195129395, 0]
1579081696.9498556;[-7.740998268127441, 0]
1579081696.9499784;[-10.077836036682129, 0]
1579081696.9499977;[-12.644704818725586, 0]
1579081696.9500148;[-15.40951919555664, 0]
1579081696.9500337;[-18.410184860229492, 0]
1579081696.9500518;[-21.84190559387207, 0]
1579081696.9500692;[-25.958847045898438, 0]
1579081696.9500864;[-30.90947914123535, 0]
1579081696.9501033;[-36.48802185058594, 0]
1579081696.9501202;[-41.986366271972656, 0]
1579081696.9523387;[-46.2015380859375, 0]
1579081696.952374;[-47.71803665161133, 0]
1579081696.952512;[-45.33053207397461, 0]
1579081696.952533;[-38.50347900390625, 0]
1579081696.9525526;[-27.598142623901367, 0]
1579081696.9525728;[-13.799177169799805, 0]
1579081696.9525921;[1.1564350128173828, 0]
1579081696.9526114;[15.510156631469727, 0]
1579081696.9526327;[0.5937771797180176, 0]
