1579081687.8764527;[13.147838592529297, 0]
1579081687.876476;[11.723236083984375, 0]
1579081687.8764954;[10.90090560913086, 0]
1579081687.8765128;[10.32175064086914, 0]
1579081687.8765328;[9.554912567138672, 0]
1579081687.876552;[8.177970886230469, 0]
1579081687.8765702;[5.898433685302734, 0]
1579081687.8766906;[2.60198974609375, 0]
1579081687.8767095;[-1.5125007629394531, 0]
1579081687.876727;[-6.018074035644531, 0]
1579081687.8767445;[-10.381927490234375, 0]
1579081687.8767614;[-14.19034194946289, 0]
1579081687.8767796;[-17.265125274658203, 0]
1579081687.876797;[-19.73809051513672, 0]
1579081687.876814;[-22.01531219482422, 0]
1579081687.8768313;[-24.604705810546875, 0]
1579081687.8768487;[-28.005775451660156, 0]
1579081687.8768666;[-32.494232177734375, 0]
1579081687.929859;[-37.943077087402344, 0]
1579081687.9298806;[-43.694305419921875, 0]
1579081687.929913;[-48.58220672607422, 0]
1579081687.9299328;[-51.13630676269531, 0]
1579081687.9299507;[-49.95564270019531, 0]
1579081687.929969;[-44.228355407714844, 0]
1579081687.9299867;[-34.04341125488281, 0]
1579081687.9300041;[-20.50519561767578, 0]
1579081687.9300244;[-5.392768859863281, 0]
1579081687.9300435;[9.370292663574219, 0]
1579081687.9300616;[22.19695281982422, 0]
1579081688.0723681;[0.38291046023368835, 0]
1579081688.080124;[0.3905942738056183, 0]
1579081688.0801501;[0.3905942738056183, 0]
1579081688.0801675;[0.39699748158454895, 0]
1579081688.0801816;[0.3982781171798706, 0]
1579081688.0801957;[0.4008393883705139, 0]
1579081688.080212;[32.13975524902344, 0]
1579081688.0802271;[38.897552490234375, 0]
1579081688.0802398;[42.61669158935547, 0]
1579081688.0802526;[43.669837951660156, 0]
1579081688.0802653;[42.480674743652344, 0]
1579081688.0802782;[39.503662109375, 0]
1579081688.0802927;[35.252464294433594, 0]
1579081688.0803058;[30.27588653564453, 0]
1579081688.0803194;[25.10834503173828, 0]
1579081688.0803325;[20.2164306640625, 0]
1579081688.0803456;[15.923416137695312, 0]
1579081688.1282957;[34.470001220703125, 0]
1579081688.1348977;[34.470001220703125, 0]
1579081688.1349297;[34.470001220703125, 0]
1579081688.1349535;[34.470001220703125, 0]
1579081688.1349752;[34.4900016784668, 0]
1579081697.7751381;[52.991615295410156, 0]
1579081697.7751465;[51.68700408935547, 0]
1579081697.7751527;[48.27253341674805, 0]
1579081697.7751586;[43.2967529296875, 0]
1579081697.7751648;[37.41783142089844, 0]
1579081697.775208;[31.288715362548828, 0]
1579081697.7752137;[25.47287940979004, 0]
1579081697.7752197;[20.336090087890625, 0]
1579081697.7752256;[16.053245544433594, 0]
1579081697.7752316;[12.651636123657227, 0]
1579081697.775237;[10.059041976928711, 0]
1579081697.7752438;[8.172994613647461, 0]
1579081697.7752502;[6.801998138427734, 0]
1579081697.7752562;[5.690273284912109, 0]
1579081697.7752664;[4.560249328613281, 0]
1579081697.7752767;[3.1210174560546875, 0]
